adición,aguante,aguijón,ajedrez,albañil,alcance,aliento,anciana,aptitud,aristas,arreglo,atuendo,audacia,aullido,balanza,bandera,barbero,barriga,biólogo,bohemia,cadáver,camisón,cantina,capilla,capitán,caracol,caverna,cazuela,cigüeña,conjuro,cosecha,costura,crucero,cáscara,delicia,descaro,detalle,dulzura,emoción,encanto,entidad,entorno,espanto,espiral,estatua,estatus,evasión,facetas,fealdad,felinos,fortuna,frenesí,galaxia,gatillo,granito,hoguera,hormona,huracán,indicio,inercia,influjo,ingreso,intriga,lamento,letrero,levante,llanura,lucidez,lágrima,lástima,madrina,madurez,malicia,mandato,mejilla,milagro,misiles,modales,monarca,montaje,místico,neblina,nitidez,padrino,palacio,palanca,pantano,panteón,parcela,pericia,pistola,planeta,poblado,premisa,pupitre,péndulo,reclamo,reflejo,regreso,reserva,resorte,revuelo,réplica,salario,sanidad,semilla,socorro,solidez,soltura,suspiro,timidez,torpeza,tributo,trámite,validez,vampiro,vanidad,viajero,vinagre,vínculo
agregar,soportir,abejo,['juego mesa'],trabajador,distancia,cansancio,edad avanzado,poder hacer,lado,reparación,estilo,hábil,perro,['justicia'],pai,['estilista'],comida,['conocer biologia'],relax,muerto,polera,bar,dios,marinero,['lento'],formación geológico,calor,beber,pelicular,['campo'],unión tela,vacación,envoltura,dulce,verguenza,pequeño,ternura,['proceso psicofisiológico partir estímulo'],['hechacer'],organizacion,ambiente,susto,hélizar,['quitar'],posición,evitar,comportamiento distinto,persona,['gato'],dinero,exaltacion,estrella,pistola,pequeño,fuego,componente,fenómeno meteorológico,pista,actuar conciencia,influir,entrada,sensacion,llanto,['cartel'],elevado,plano,conciente,['tristeza'],pena,mujer,experiencia,maldad,ley,cara,dios,['artefacto destrucción masivo'],escala musical fundamental,rey,pelicula,esencia espiritual,nube baja,fino,familiar,vivendar,corte carne,['terreno húmedo fangoso'],cementerio,terreno,loro,['revólver'],['tierra'],apretado,afirmacion,mesa,oscilacion,alegar,espejo,devueltar,pedir,alambre,exaltacion,copia,sueldo,['locura'],fruto,ayuda,solido,agil,expresión,rasgo personalidad,mal movimiento,homenaje,papel,nivel autentico,sangre,soberbiar,aventura,líquido preparado partir alcohol,enlace
sumar,fuerza,dolor,['tablerir cuadriculado blanco negro'],construir,cercania,correr,abuelitir,incentivo aprender,cubo,adorno,primero impresion ,genio,lobo,['equidad'],color,['cuidado personal'],grande buen vida,['persona'],salida,hueso,poleron,star wars,religion,jefe,['baboso'],oscuro,bienestar,ave,miedo,['trabajador'],puntada,lujo,exterior,placer,patudez,pequeño,sabor dulce,['expresión mental'],['embrujo'],grupo,hogar,miedo,vuelta,['concreto'],situación,acto ilicito,cara,concepto,['animal'],capital,violencia,color,arma,barro,condena,biologia,producir diferencia presión,señal,fisicar,producir,sueldo,curiosidad,lastimero,['informacion'],sobresaliente,llano,psicologia,['felicidad'],tristesa,acompañante,desarrollo,diablir,deber,pumulo,santo,['lanzamiento forma remoto'],comportamiento social persona,reina,video,misterioso,poco vision,claro,protector,elitir,concepto físico,['terreno húmedo fangoso'],antiguo,lugar,perico,['arma fuego cortar bajo calibre'],['agua'],ciudad,logica,silla,movimiento,queja,imagen,atra,restaurant,rebotar,emocion,imitación,dinero,['coherente'],agricultura,auxilio,firme,desenvuelto,exhalación,ánimo,torpe,respetar,gobierno,efectividad,murcielago,engreido,opir minded,sabor agrio,relación
juntar,tenacidad,enojo,['pieza juego distinto movimiento'],ocupar casco,movimiento,hinchado,viejitar,psicologia,figurar,acuerdo,buen mal gusto,intrepido,noche,['grecia'],patria,['trabajador'],grasa,['investigacion'],diversión,podrir,holgar,solo,iglesia,barco,['moluscir'],húmedar,amor,pata larga,magia,['calor'],hecho mano,oceano,capa,satisfaccion,malo clase,atención,amabilidad,"['tristeza', 'alegría', 'ira', 'miedo']",['deleitar'],idea,lugar,temor,caracol,['imagen'],momento,salir,diverso aspecto,belleza,['mamifero'],patrimonio,emocion,infinito,asesinar,piedrecilla,llamar,sustancia,devastador,indicación acontecimiento,movimiento,ejercer,check-in,accion,sentir lástima alguno suceso,['instruccion'],izado,santiago,perdido,['agua'],empatiar,testigo,prudencia,intencion,actuar,rostro,espíritu santo,['bomba autopropulsada'],buen malo según aceptación social,medieval,foto,relacionado deidad,accidente,luminoso,testigo,dominio,brazo mecánico producir efecto físico,['ciénaga'],sepulbro,amplio,ave,['disparar generalmente solo mano'],['atmosferar'],capital,argumento,salon clase,fisicar,disconfor yo,mostrar,volver,pre,fisicar,desordir,similar,ganancia,['entender'],delicadar,favor,fisico,solterio,espiración,surje respuesta temor ambiente,romper cosa,admiracion,latero,realidad,dracular,orgulloso,curioso,común fruta uva manzán,nexo
concatenar,valor,hinchazon,['objetivo matar rey'],utilizar herramienta,recorrido,jadear,viejo,capacidad,geometer,composición,top,temerario,luna,['hacer postre'],revolucion,['masculino'],pipar,['estudiar ser vivo'],artista,carne,pijamar,cerveza,jesus,equipo,['caparazon'],refugio,frio,pico largo,maldicion,['comida'],hecho máquina,descanso,cubierto,felicidad,enojo,defecto,suavidad,"['tristeza', 'alegría', 'ira', 'miedo']",['gusto'],meta,percepcion,pavor,escalera,['persona'],condición,impuesto,punto visto,subjetivo,['salvaje'],abundancia,alegrio,maravilla,matar,rocar pequeño,brasa,celula,origina mar,rastro,relatividad,pensamiento,ganancia,inter,sentir,['publicidad'],ciudad españa,campo,comprender,['ojo'],pesar,persona especial,juicio,falso,juez,flaco,inexplicable,['forma cohete'],parte educación,europa,encubrimiento,épico,llovizna,exaltado,persona acompañar sacramentir,elegancia,largo punto apoyo producir relación,['manglar'],tumba,tierra,habilidad,['cañón corto'],['sistema solar'],chino,validez,colegio,reloj,molestia,copia,egreso,consumo,movimiento,violencia,respuesta,ingreso,['comprension'],inmadura,refugio,rigido,libertad,soplar,inhabilito actividad social,problema,memoria,ley,valor,colmillo,ostentar,amigable,servir aliñar ensalada,lazo
mas actividad,valentia,muerte,['movimiento caballo l'],bosque,situacion,agotar él,tercero edad,capacidad llegar objetivo,dobléz,ajuste,shopping,valiente,manado,['intelectual'],democracia,['hábil'],buen alimentacion,['vida'],estilo vida,frio,,jarra,maria,lider,['animal'],hogar primitivo,calor,grande,fantasma,['esfuerzo'],hecho aguja hilo,relajo,piel,bienestar,pelea,cariño,placer,"['tristeza', 'alegría', 'ira', 'miedo']",['fascinación'],compañia,espacio,terror,adn,['importante'],clase,politico,opinión,dolor,['mascota'],suerte,arrebato,espacio,nerviosismo,tipo rocar,fogata,proteina,torbellino alimentar agua,evidencia ocurrir,acción,accion,acceso,tension,expresar dolor pena,['palabra'],equipo fútbol español,liso,claridad,['limpieza'],emoción,amiga,sensatez,matar,legalidad,gordo,hermoso,['utilizar arma largo alcance'],distinto depender cultura,antiguo,premeditado,iluminado,invierno,alegrio,función existir varios religión,realeza,permitir transformar fuerza,"['poseer flora densar variado', 'crecer musgo']",monumento,superficie,destreza,['utilizar bala corto alcance'],['jupiter'],india,relevante,escuela,masa,malestar,ver,retroceder,utlizado,amortiguacion,animado,objeción,remuneración,['sano'],crecimiento,asistencia,duro,actuar abiertamente,lamento,poder asociado alguno fobiar,tonto,nostalgia,siempre fila,original,mitologia,presumido,aperrar,usar producir encurtido,union
añadir,comunidad,alergia,"['torre', 'alfi él', 'peón', 'caballo', 'rey reina']",cerro,problema,respirar,sabiduer,habilidad,linea,orden,tienda,personalidad,ayuda,['derechocarrera'],logo,['barba'],cuerpo humano,['análisis ámbito vida'],cultura,tieso,,alcohol,dinero,mar,['moluscir'],peligroso,sopar,blanco,bruja,['estación año'],hecho aguja hilo,verano,proteccion,comida,falta respetar,notable,melosidad,['conmovido ansioso'],['encantamiento'],coorporacion,comididad,horror,caracol,['heroe'],nivel,descontento,etapa,mal sentimiento,['peludo'],bendicion,apasionado,gigante,fuerza,grano pequeño,fuego,esencial vida,tocar tierra desembocar tormenta tropical,síntomir enfermedad,movimiento,convencer,medida económico,desconocimiento,expresar dolor pena,['verde blanco'],levantar,verde,esclarecimientir,['lubricacion'],injusticia,cercano,sabiduer,daño,notaria,cachete,espernza,['proyectil'],ir cambiar época,corona,ocultamiento,corriente filosóficar,vapor,claridad,usar figurar duelo muerte,vivendar,relacionar griego arquímed,['suelo bajo agua estancado'],criptar,propiedad,cualidad,['dejar rastro pólvora mano ropa'],['galaxia'],humano,implicar conclusion,butaca,girar,mostrar disconformidad,alma,vuelta atra,petroleo,rebotar,felicidad,contestación,mensualidad,['salud'],pequeño,auxilio,convicción,desvergonzado,limeño,miedo opinión,necedad,importante,viaje,valor,depredador,exterior,buscar lugar,usar cosmético,nudo
ampliar,u,sufrimiento,['juego dos'],arbol,peligro,,pensión,enfocar él,cambio ángulo,acomodación,comprar,calificación,,['juegos'],comunidad,['usar tijera'],sistema gastrico,['conocedor ecologia'],antiguo,comida,,musico,papa,pirata,['terrestre acuático'],profundo,delgado,pluma,negro,['paciencia'],oficio costurera,viaje,pelar,cocinar,inadecuado,facil omitir,delicadeza,['conmovido ansioso'],['bello'],volumen,ambiente,amenazar,rulo,['arte'],categoría,deuda,cambio personalidad,repulsion,['garra'],riqueza,locura,universo,poder,duro,acampar,sexual,viento fuerza extraordinario presentar movimiento circular,aviso,newton,intervenir,renta,detective,pedir disculpa,['señal'],fuerza vertical,ciudad,vislumbrar,['llorar'],indefenso,aceptar responsabilidad,conocimiento,herir,poder,mofletir,fe,"['poder ser tipo antiaéreo', 'antitanque', 'antibuque', 'etc']",protocolo,principe,secreto,religioso,nube,limpio,elegido cada ceremonia,antiguedad,grado según forma aplicar él,['humedal'],sepulcro,zona,manejo,['utilizar usualmente policía'],['redondo'],demaciado,proposicion,asiento,reloj pie,hacer valer opinión,introspeccion,perdido capacidad congnitiva,agua,usar físico,celebracion,contradicción,asignacion,['insumo'],arbol,ayuda,firmeza,facil expresion,expresión,poder ser manejado,estupidez,reconocimiento,pasaportir,útil,muerto viviente,malo,sed conocer,usar remedio casero,link
operacion matematico,resistencia,tristeza,['estrategia'],corte madera,problematico,,jubilación,difícil conseguir,parte,orden,gastar,virtud,,['peso'],idioma,['usar navaja'],ejercicio fisico,['pequeño mas grande'],literatura,apagado,,butaca,dorado,nave,['terrestre acuático'],espeleología,pollo,carnivoro,oscuridad,['dedicación'],usado hechura ropa,pasear,maduro,manjar,traicion,mirar atentamente,cariño,"['innato', 'natural ser humano']",['agradable'],persona,alrededor,desagradable,curir,['escultura'],condición actual,critica,enfrentamiento ideologia,terror,['audaz'],billete,delirio,espiral,disparar,poder clasificar según tamaño,marshmallow,capaz cambiar desarrollo,tifón,vestigio,ley,ayudar,ganancia,duda,sentir tristeza alguno suceso,['aviso'],ascensor,comunidad,sacar él vendar,['pena'],ternura,niño,expertíz,aprovechar,persona,ternura,raro ver,['generar explosión devastadora'],norma legal,princessa,colusion,misterioso,poco visibilidad,transparente,masculino,rey,mandar cambio velocidad vehículo,['habitar animal cocodrilo rana'],templo antiguo,parte,acierto,['disparar jala gatillo'],['gravedad'],volumen,razonamiento,sitial,mover,plasmar libro,ver él mismo,pasado,acumulo,ley hooke,impacto,terremoto,pagar,['higienir'],nacer naturaleza,problema,partícula ordenada pegada,verborrea,exhalar,asocia introversión,hacer apurado,agradecimiento,firma,contrato,fuerza,exceso,nomado,usar limpiador,lazo
número,fuerte,abejo,['juego'],construcción,viaje,,experiencia,tomar tiempo,específico,posicionamiento,preocupacion,arriesgar,,['equilibrio'],lenguaje,['amable'],abdominal,['búsqueda relación vida'],arte,vida,,papas frita,fe,avion,['movimiento lento'],estalactita,verano,huevo,terror,['campesino'],arreglo ajuste ropa,brasil,alimento,rico,sinverguenza,minucioso,bondad,['representado gesto facial'],['lindo'],movimiento,persona relación cercano,susto,aureo,['turismo'],posición social,carcel,agente cambio,placentero,['rápido'],oro,excitado,buzz light year toy story,apretar,servir construcción,ritual,crecimiento,originar zona tropical,prueba,fisicar,presionar,adquirir,preguntar,quejido gemir,['publicidad'],españa,derecho,abrir ojo,['llanto'],remordimiento,novia,crecimiento,inmoral,accion,carrillir,excepcional,['trayectoria poder ser incluso carácter intercontinental'],comportamiento,dinero,mentira,leyenda,provocar accidente,brillante,figurar protector,reina,barra mandar accionar,['habitar animal cocodrilo rana'],cerro valparaíso,trozo,facilidad hacer,['peligroso'],['vida'],persona,solucion,clase,movimiento constante,conllevar malo atención,espejo,retorno lugar,materia primar,salta,generar cambio,respuesta,sueldo,['limpieza'],feto,amparo,poder atravesar,elocuencia,pena,necesariamente rasgo negativo,falta motricidad,obsequio,documento,confiable,velocidad,estético,persona sed conocer mas,color cambiar según origen,unión
adjuntar,templir,picadura,['estrategia'],tuerca,distancia,,preferencial,lograr buscar,temático,colocacion,orden,inteligencia,,['matematico'],comunidad,['cuidadoso'],esfuerzo,['capaz'],social,muerte,,bartender,creencia,aereir,['caparazón'],estlagmita,casa,negro,hechacer,['naturaleza'],deber ser pulcrar,barco,cubrimiento,sabroso,frescir,objeto,agradable,['sistema límbico'],['confianza'],equipo,familia,expresion facial,hiptonizante,['blanco'],situación,impertinencia,capacidad poder cambiar,triste,['leal'],platar,locura,astronauta,pistola,poder grabar tallar,cocina,generar cambio humor,natural,signo,falta movimiento,persuadir,relacionado dinero,incierto,desahogo,['carretera'],región,vivenda,despierto,['echar él ramo'],pena,religión,fruta,etico,juridico,perfil,curar,['creado segundo guerra mundial'],buen malo,poder,robo,divino,carretera,resplandeciente,existir institución caridad,principe,maquín,['terreno mal drenar profundo'],monumento funerario,fracción,equivocar él,['producir daño'],['existencia'],conjunto persona organizado,conclusion,carpetar,oscilar,enojo,rapir,devolver,cognición,saltador,shock,reacción,remuneración,['normal'],vida,protección,físico materia,relajo,ultimo,enfermedad,bajo nivel cognitivo,reconocimiento,proceso,correcto,palidez,red social,explorador,agrio,internet
