adición,aguante,aguijón,ajedrez,albañil,alcance,aliento,anciana,aptitud,aristas,arreglo,atuendo,audacia,aullido,balanza,bandera,barbero,barriga,biólogo,bohemia,cadáver,camisón,cantina,capilla,capitán,caracol,caverna,cazuela,cigüeña,conjuro,cosecha,costura,crucero,cáscara,delicia,descaro,detalle,dulzura,emoción,encanto,entidad,entorno,espanto,espiral,estatua,estatus,evasión,facetas,fealdad,felinos,fortuna,frenesí,galaxia,gatillo,granito,hoguera,hormona,huracán,indicio,inercia,influjo,ingreso,intriga,lamento,letrero,levante,llanura,lucidez,lágrima,lástima,madrina,madurez,malicia,mandato,mejilla,milagro,misiles,modales,monarca,montaje,místico,neblina,nitidez,padrino,palacio,palanca,pantano,panteón,parcela,pericia,pistola,planeta,poblado,premisa,pupitre,péndulo,reclamo,reflejo,regreso,reserva,resorte,revuelo,réplica,salario,sanidad,semilla,socorro,solidez,soltura,suspiro,timidez,torpeza,tributo,trámite,validez,vampiro,vanidad,viajero,vinagre,vínculo
sumar,esfuerzo,picadura,juego mesa,habil,llegare,ayuda,señora mucho edad,personal,puntual,implicar reparar roto,ropa,vivir,grito,bien mal,patria,antiguo,panza,observador,diversion,['persona fallecer'],pijamar,amigo,iglesia,barco,lento,platon,comida casera,ave flaco,hechacer,fruta verdura,unión dos trozo,bote,proteger,sabor,verguenza,parte contribuir completar cosa,['sabor azúcar'],personal,amor,ser,rodear,miedo,círculo,rocar,altura,incorrecto,temporal,apariencia,peludo,casino,adrenalinar,infinitar,disparo,tierra,calentar,biologia,catástrofir natural,pista,fisicar,poder,entrar,['curiosidad'],sentir,cartel,fuerza,['plano'],sobriedad,líquido salir ojo,pena,acompañante,adultez,alcohol,obligación,['cara'],dios,proyectil,comportamiento,reina isabel,falso,misterioso,poco visibilidad,calidad,película,castillo,palo hacer fuerza,animal,cementerio,grande,abilidad,arma fuego,tierra,organización,afirmación,beber,ir ver,alegar,narciso,jedi,hotel,ley hooke,otoño,respuesta,dinero,corona virus,germinar,['auxilio'],rigido,caderar,aire,inseguridad,desconcentrado,ofrendir,documento,real,['muerto viviente'],['superficialidad'],mundo,amargo,conexión
agregar,entrega,pinchazo,regla,fuerte,altura,confort,cansado,abilidad unicar,definida,implicar remodelar mal,vestir,tenaz,comunicación,equilibrio,patriotismo,dentista,chelar,investigador,descontrol,['cuerpo vida'],verano,alcohol,abuso,equipo,asco,luz,comida chileno,traer hijo,brujerio,fruta verdura,usar aguja,mar,decorar,felicidad,engañar,vez hacer diferenciar,['actitud amable cariñoso'],poder ser positivo,llamar atención,existir,contexto,alejar,perfecto,marmol,mejor peor,destruccion,personal,desagrado,curioso,dinero,aventura,estrella,defensa,rugoso,grande,cuerpo humano,fenómeno natural,rastro,movimiento,autoridad,entrada,['misterio'],perdón,aviso,aguante,['valle'],salud,trozo cristal lámpar,compasión,apoyadoro,adulto,droga,resposabilidad,['parte blando cara'],religión,bomba,manifestación,reinado,teatro,mentiroso,oscuro,definición,encargado velar fe ahijado,edificio,permitir levantar objeto pesado,lugar,conjunto dios antiguo,casa,rapidez,matar,venus,jerarquia,creencia,habitación,ciclico,enojo,agua,volver,représ,fisicar,viento,movimiento post terremoto,comida,limpio,crecer,['ayuda'],dureza,bailar,viento,miedo,normal,merecido,complicado,respaldo,['alimentar sangre'],['orgullo'],trotamundo,derivado venir,íntimo
operacion,resistencia,punzante,jugar dos,creativo,distancia,esfuerzo,amoroso,destreza,borde,implicar ordenar,moda,inteligente,soledad,peso,cultura,navaja,malo alimentacion,inteligente,carrete,['cuerpo descomposición'],abuelo,tiempo libre,pedofilia,deporte,baboso,noticia,familia,color blanco,magia,sembrar,necesitar hilo,oceano,nutrir,lujo,enemistad,gente considerado detallista,['actitud amable cariñoso'],poder ser negativo,perfección,asociación persona dedicar hacer,ambiente,pesadilla,desigual,escultura,representar persona,ilegal,periodo,prejuicio,carnivoro,suerte,rapidez,planeta,limitar,construcción,dar comida,natural,remolino,evidencia,energiar,manifestación,bienvenido,['invetigar'],disculpa,informacion,subir,['desierto'],despierto,secreción,hacia persona,preocupado,sobrevalorado,ilegal,esfuerzo,['zona lateral cara'],magia,cañonazo,característica,príncipe princesa,puesto escena,creido,tenebrós,imagen,católico,amplio,fabricadod madera metal,cocodrilo,lugar,patio,maestrio,asesinar,mar tú,pueblo,supuesto,banco,fisicar,buscar arreglar,espejo,nuevo,motel,movimiento armonico,desorganizado,acción contestar,sueldo,cuidado,planta,['apoyo momento urgencia'],poco desformacion,movimiento,respiración,temor social,chistoso,dios,demoroso,veraz,['inmortal'],['engreimiento'],avión,usado condimentar ensalada,innegable
aumento,compromiso,abeja,jugar tablerir,trabajador,meta,precencia,comida rica,competente,linea,gente dedicar arreglar cosa,formalidad,maquiavelico,tristeza,verduleer,identificación,espuma,hombre,libre,fiesta,['enterrar cementerio'],asado familiar,celebración,cura,fútbol,flojo,realidad,casa,pluma,edad medio,poder usar figurado,puntada,viaje,caracterizar,disfrutar,exagerar,minuciosidad,['nivel sensación dulzor'],sentimiento,mover piso,alma,naturaleza,sentimiento,fino,arte,dar lugar sociedad,malo,cambio,falta carisma,cazador,farkas,descontrol,oscuro,amenazar,desagradable tacto,base calor,desarrollo,viento círculo,huella,rotacion,causa,puerta,['curiosidad'],culpa,advertencia,capacidad,['seco'],bajo efecto estupefaciente,gota,sentimiento,acompañar embarazado,necesario,adicción,ley,['cachet'],dolencia,destrucción,forma tratar,europa,actuación,pretencioso,humeda,claridad,presente bautismo confirmación,alcazar,uso doméstico industrial,rana,templo,espacio,destreza,defender él,mercurio,sociedad,marco teórico,incomodo,movimiento,solucion,mismo,viaje tiempo,anticipación,tecnologia,desordir,copia,remuneración,salúd,concepción,['respaldo'],resiliencia,juergo,alivio,temperamento asocial,agil,admiración,necesario,tangible,['ser legendario'],['presunción'],barco,producto descomposición,inexplicable
crecimiento,fuerza,hinchazón,usar 16 pieza móvil,esforzado,determinismo,mal oliente,sabio,habilidad,poligono,implicar ajustar mal,aparienicia,valiente,luna lleno,antiguo,amor,peluquero,grasa,meticuloso,alcohol,['cuerpo frío'],comodidad,fiesta,papas,responsabilidad,sorpresivo,oscuridad,invierno,forma estilizado,mito,campo,punto mayor debilidad telar,vacación,fragil,comida,escrúpulo,intención,['contrario amargor'],sensación poder ser intenso,característico,valor,paisaje,sorpresa,remolino,replicar,generar ranking,saltar él torniquete,distinto personalidad,atractivo,variado,ludopata,fugaz,oxígeno,inseguridad,raspar,peligroso,quimico,peligro,quedar después suceder,movimiento,intromisión,apertura,['incomod'],dolor,anuncio carretera,cambiar lugar,['deforestacion'],sensible,humedad,llanto,figurar femenino apoyar religiosamente alguien,imposible alcanzar,consumo,orden,['cachete'],solución,guiado,educación social,historia,mentira,magico,fenomeno climático,puro,protector,piedra,uso doméstico industrial,sapo,relacionado muerte,trozo tierra,investigación judicial,disparar,saturno,comunión,hipótesis,estudio,tiempo,desacuerdo parte,espejismo,repetir,guardar,suspención,revolución,alegato,pago mensual,hospital,cuidado,['grito dar alguien necesitar ayuda'],irrompible,liviano,exasperación,verguenza,nulo,regalo,legal,comprobar,['ver negro'],['sobrevaloración propio'],mar,olor desagradable,inesperado
inclusion,voluntad,defensa propio,implicar estrategia,artista,limitación,acompañar,experimentado,maester,figura,implicar colocar forma correcto,presentación,digno seguir,pedir ayuda,útil,terrenal,silla,comida rapido,curioso,arte,['quemar volver ceniza'],sentir él casa,diversión,catolicismo,ejemplar,escondido,murcielago,caliente,estero,culto,árbol,tejido,recorrer mundo,pedazo,dulce,verguenza,importante,['enternecimiento'],reacción estímulo,reconocible,alguien,familia,asco,tranqulidad,representación,basa dinero,pagar impuesto,varios cara,horripilante,ronroneo,apostar,momentaneo,hermoso misterioso,muerte,suciedad,recordar hansel gretel,salud,viento,vestigio,fuerza,influencia,comenzar,['misterio'],arrepentimiento,infografíar,soportar,['gritar'],demasiado atento,permitir limpieza ojo,decepción,hado,objetivo,vil,autoridad,['cara'],petición,guerra,costumbre,descendiente,engaño,dificil encontrar,poco visibilidad,variedad color,película,marmol,asociado torcar,agua,monumento,extenso,habilidad,apuntar,jupiter,infraestructura,concepto,apretado,objeto oscilante,desconformidad anunciado alguien,tal,retorno,cupo,reposicion,anarquir,respuesta persona,valoración economicar trabajo,esteril,riego nutrient,['acción ayudar persona'],conciso,libertad,impaciencia,cobardia,trabado,obsequio,fome,ciencia,['morir estaco'],['arrogancia'],recorrer,mal carácter,importante
factor,sostener,dolor,origina india,traje obrero,ser realista,caliente,tranquilar,requerir esfuerzo,interseccion,listo,imagen personal,ejemplar,pedir consuelo,precisar,fiesta patria,moda,alcohol,científico,valparaiso,['resto persona vivir'],dormir,escocia,herejia,dar orden,raro,secreto,lluvia,mito infantil,creencia,resultado,chaleco,relajación,rica,excepción,político,pequeño,['empalagoso'],expresión,querer,aliens,amigo,pena,llamar atención,museo,poder,evitar responsabilidad cívico,cara,opinión,gato,ganancia,diversión,hermoso misterioso,peligro,duro,miedo,pubertad,tormenta,indicación,esperar choque,poder,universidad,['cahuin'],grito,cuadrado,ayudar,['piedra'],embriaguez,salir lagrimal,decir remedio,mama repuesto,utopico,maligno,jurisdicción,['diente'],positivo,muerte,habito,autoritarismo,elaborar,tarot,ambiente humedo,enfocado,jefe mafia,megar construcción,fisicar,selva,famoso francia,división,facilidad,recargar,oxigeno,persona,argumento,duro,objeto colgar cuerdar,queja consumidor,autoconocimiento,retroceder,austeridad,objeto metalico recuperar forma,rebelión,gatilla argumento contrario,dinero percibir,alcohol,riego nutrient,"['general', 'nacer desinteresadamente']",denso firme,flexible,enfado,nervio,falta delicad,journey,latero,experimento,['soportar sol'],"['religión', 'pecado capital']",cultura,dedicar amargar entorrno,familia
resultado,capacidad mental,veneno,cada pieza movimiento específico,sucio,plan,apoyo,apañadorar,madurez,base,matriz,depender contexto,peligro,noche bosque,metal,color,experiencia,estomago,bata blanco,malabar,['paso tiempo oler mal'],polera largo,cerveza barril,chuñar,tomar descisión,autoprotección,tesoro,caserola,poner huevo,ficticio,paciencia,ropa,entretenimiento,proteger comida,placer,desfachatez,vez desapercibido,['azucarado'],estabilidad,sentimiento,ente,comuna,trauma,parecer torbellino,miguel angel,superioridad,evitar,etapa,construcción social,tigre,sueldo,exaltación,desconocido,repentino,fino,imponente,mujer,pánico,pista,imparable,convencer,dinero,['curiosidad'],duelo,visto,cambiar lugar,['tierra'],mente,llorar,frente hecho malo,figurar creado iglesia,irrealista,dañino,orden,['abuela'],sarcasmo,terrorismo,educacion,real,diseño,triangulo bermuda,humo,caro,titulo católico,poder,torcar,shrek,famoso italia,comprar,rapidez,intimidar,pluton,familia,postular,libro,reloj,mal rato,transparente,giro,arrendar,rebotar,alborotir,poder ser oral escrito,renta mensual,cloro,crecer si descuido,['poder ayudar riesgo físico'],denso firme,atadura,decepción,modestia,ser torpe,honor,notaria,cierto,['noche'],['endiós mismo'],nómade,líquido agrio,asociacion
receta,tener coraje,abejo,jugar silencio,oficio,estrategia,vapor,madre,trabajólico,pilar,reparar,prenda vestir,coraje,lobo salvaje,número,rectangular,pelo,guardar comida,lent protección,orgiar,['paso tiempo volver amarillento'],camisa quedar largo,bar,crucificación,sabidurio,miedoso,humedad,abuela,ave estacional,hechizero,tomar tiempo llegar,cojín,barco,dar forma,chocolate,frescura,elemento,['dañino pancrea'],poder generar cambio físico,pareja,grupo,comunidad,rechazo,pensar,romanticismo,inferioridad,salir,personalidad,punto visto,bigot,billete,locura,existir mucho,parte arma,arido,multiuso,biología,desastrar sobrenatural,dudar,falta energiar,politico,monto,['crimen'],pena,cartel,comodidad,['sequedad'],claridad,tristeza,poder usar él irónico,confirmacion,aburrido,abuso,imperativo,['ardilla'],inesperado,conflicto,inculcar crianza,regio,trabajo,alquimia,mañana,claridad,quién apadrín alguien,prudencia,angulo,lodo,edificio,caro,destreza,revisar,galaxia,identidad,deduccion,amigo,fisicar,salio mal,luz,error,reservar,fisicar,tumulto,poder ser oral escrito,ingreso trabajo,salud mental,fortalecer,['poder salvar integridad solicitar'],solido,caderar,cansancio,humildad,botar cosa,fama,adultez,tener certeza,['ajo'],['relacionar egocentrismo'],aventurero,aceto,union
matemática,tener paciencia,dolor,considerar deporte,construccion,anhelo,mal olor bocar,preocupado,capacidad,concepto,mejorar,traje,atrevimiento,perro,decisión,asta,sociabilidad,obesidad,guant,hipster,['soler dar miedo'],pijamar largo,tomar cerveza,religion,confianza,imperceptible,platón,caliente,ave carnívoro,maldal,satisfactorio,alto,buque,contener nutrient,dulce,insolencia,fracción,['prohibido diabético'],existir distinto tipo,abrazo,colectivo,espacio,evitar,reflexionar,representacion,afectar trabajo,poner él salvo,forma,horrible,garra,trabajo,exaltación,astronomíar,forma curir,seco,difícil prender,cerebro,bunker,creer,incapacidad cambiar,fascismo,salario,"['plan', 'complot']",sentimiento,advertencia,mecánico,['iner tú'],despierto,sal,opresión pecho,bautizo,cerrado mente,cruelar vil,instrucción,['piel'],felicidad,pistola,padre,oro,producción,sobrenatural,niebla,transparencia,protector,frio,barra,barro,lugar muerto,idoneo,práctica,ataque,planta,calle,inferencia,colegio,teorio pendulo,especialidad padre,brillo,vida pasado,apichangar él,rebote,caos,objeto imito completamente,ingreso económico,ejercicio,nacimiento,['poder ayudar problema índolar menor'],rigido,liberar él,profundo,introvertido,quebrar cosa,fan,innecesario,conocimiento,['antiguo'],['relacionar sentir superioridad'],explorador,escabeche,amor
